"","pool","pos","prevalence","prob_sim","prob_test","prob_bin"
"269",10,8,0.001,0,9.95511979025177e-08,4.49100450000001e-23
"270",10,9,0.001,0,0,9.99000000000001e-27
"271",10,10,0.001,0,0,1e-30
"272",10,0,0.01,0.904382075008804,0.904382075008804,0.904382075008805
"273",10,1,0.01,0.0206056628356026,0.0224023236461872,0.091351724748364
"274",10,2,0.01,0.0343555204493366,0.0350191088487755,0.00415235112492564
"275",10,3,0.01,0.0258264015401219,0.0247985088464666,0.000111847841748839
"276",10,4,0.01,0.0112637915639628,0.0102062573135602,1.9771083137421e-06
"277",10,5,0.01,0.00294503208972882,0.00268208279600304,2.396494925748e-08
"278",10,6,0.01,0.000554583964948934,0.000458966039957739,2.017251621e-10
"279",10,7,0.01,5.73707549947173e-05,4.97213209954217e-05,1.1643588e-12
"280",10,8,0.01,9.56179249911956e-06,9.56179249911956e-07,4.41044999999999e-15
"281",10,9,0.01,0,0,9.90000000000001e-18
"282",10,10,0.01,0,0,1.00000000000001e-20
"283",10,0,0.03,0.737424126894928,0.737424126894928,0.737424126894928
"284",10,1,0.03,0.0469748236984974,0.0615189013097873,0.22806931759637
"285",10,2,0.03,0.0891182513318614,0.0961657877660015,0.0317416060572267
"286",10,3,0.03,0.0744927751999089,0.0680990526898004,0.00261786441709086
"287",10,4,0.03,0.0366293342981575,0.0280273486952354,0.000141688538038423
"288",10,5,0.03,0.0121572629247648,0.00736525324059727,5.25854367977652e-06
"289",10,6,0.03,0.00275704666760326,0.00126036419090434,1.355294762829e-07
"290",10,7,0.03,0.000341348635036593,0.000136539454014637,2.39521902120001e-09
"291",10,8,0.03,0.000105030349242029,2.62575873105072e-06,2.77796020499999e-11
"292",10,9,0.03,0,0,1.909251e-13
"293",10,10,0.03,0,0,5.90489999999998e-16
"294",10,0,0.05,0.598736939238379,0.598736939238379,0.598736939238379
"295",10,1,0.05,0.0585041542590444,0.0940119225058403,0.315124704862305
"296",10,2,0.05,0.126598495670292,0.146958583373336,0.0746347985200195
"297",10,3,0.05,0.117570076803155,0.104067574808527,0.0104750594414062
"298",10,4,0.05,0.0664892891682007,0.0428308191056955,0.000964808106445314
"299",10,5,0.05,0.0245974256246874,0.0112554288543635,6.09352488281249e-05
"300",10,6,0.05,0.00650046158433827,0.00192606269165578,2.6725986328125e-06
"301",10,7,0.05,0.000682147203294756,0.000208656791596043,8.03789062500002e-08
"302",10,8,0.05,0.000321010448609297,4.01263060761621e-06,1.58642578125001e-09
"303",10,9,0.05,0,0,1.85546875e-11
"304",10,10,0.05,0,0,9.76562500000002e-14
"305",10,0,0.1,0.3486784401,0.3486784401,0.3486784401
"306",10,1,0.1,0.05887946901496,0.152598128268971,0.387420489
"307",10,2,0.1,0.16074616098332,0.238540008097776,0.1937102445
"308",10,3,0.1,0.19539646797,0.168920246560065,0.057395628
"309",10,4,0.1,0.1419881000582,0.069522063303726,0.011160261
"310",10,5,0.1,0.06956114259732,0.018269569755195,0.0014880348
"311",10,6,0.1,0.02116795069675,0.00312634348752,0.000137781
"312",10,7,0.1,0.00306121133153,0.000338687211148,8.748e-06
"313",10,8,0.1,0.00045592509193,6.513215599e-06,3.64500000000001e-07
"314",10,9,0.1,6.513215599e-05,0,9e-09
"315",10,10,0.1,0,0,1e-10
"316",11,0,0.001,0.989054835329538,0.989054835329538,0.989054835329538
"317",11,1,0.001,0.00213759066014115,0.00216550083005082,0.0108904936823072
"318",11,2,0.001,0.00375419148196832,0.00379512639783585,5.4506975386923e-05
"319",11,3,0.001,0.0030613625583281,0.00300915412285,1.63684610771541e-07
"320",11,4,0.001,0.00145023431883616,0.00142352811704023,3.27696918461544e-10
"321",11,5,0.001,0.00043014497154914,0.000442622459273466,4.59234920766925e-13
"322",11,6,0.001,9.41284161659696e-05,9.47851260461973e-05,4.59694615382309e-16
"323",11,7,0.001,1.75122634727385e-05,1.32436492512585e-05,3.28681978680329e-19
"324",11,8,0.001,0,1.09451646704616e-06,1.64505494835e-22
"325",11,9,0.001,0,1.09451646704616e-07,5.48900549999994e-26
"326",11,10,0.001,0,0,1.09890000000001e-29
"327",11,11,0.001,0,0,1e-33
"328",11,0,0.01,0.895338254258716,0.895338254258716,0.895338254258716
"329",11,1,0.01,0.0183158055047246,0.020707326394913,0.0994820282509685
"330",11,2,0.01,0.0348104966335509,0.0362904137183327,0.00502434486116002
"331",11,3,0.01,0.0298599960599882,0.0287746537566511,0.000152252874580607
"332",11,4,0.01,0.0153015472273757,0.0136123066511113,3.07581564809307e-06
"333",11,5,0.01,0.00521215493791592,0.00423252099777751,4.34963829023261e-08
"334",11,6,0.01,0.000994286584542194,0.000906370718119516,4.39357403053799e-10
"335",11,7,0.01,0.000156992618611925,0.000126640712346953,3.16996683300001e-12
"336",11,8,0.01,1.04661745741284e-05,1.04661745741284e-05,1.60099335000001e-14
"337",11,9,0.01,0,1.04661745741284e-06,5.39054999999998e-17
"338",11,10,0.01,0,0,1.089e-19
"339",11,11,0.01,0,0,1e-22
"340",11,0,0.03,0.71530140308808,0.71530140308808,0.71530140308808
"341",11,1,0.03,0.0416229348685227,0.0563276173990233,0.243349961875326
"342",11,2,0.03,0.0886266732186806,0.0987163914932391,0.037631437403401
"343",11,3,0.03,0.0840430258083987,0.0782721852489941,0.00349157666629493
"344",11,4,0.03,0.0478008944215113,0.0370278995143643,0.000215973814409996
"345",11,5,0.03,0.0166833377790385,0.011513211259118,9.3514435105359e-06
"346",11,6,0.03,0.00483987614750264,0.00246548984925723,2.8921990238771e-07
"347",11,7,0.03,0.000996445089191719,0.000344485302263423,6.38924673905102e-09
"348",11,8,0.03,8.54095790735759e-05,2.8469859691192e-05,9.88027846245002e-11
"349",11,9,0.03,0,2.8469859691192e-06,1.0185854085e-12
"350",11,10,0.03,0,0,6.30052829999998e-15
"351",11,11,0.03,0,0,1.77147e-17
"352",11,0,0.05,0.56880009227646,0.56880009227646,0.56880009227646
"353",11,1,0.05,0.0512265490375566,0.0853129017431025,0.329305316581108
"354",11,2,0.05,0.120606614190274,0.14951425600406,0.0866592938371337
"355",11,3,0.05,0.127592052695396,0.118549790630433,0.0136830463953369
"356",11,4,0.05,0.0845583019045863,0.0560818599985237,0.00144032067319336
"357",11,5,0.05,0.0341510326917044,0.01743772426834,0.000106128891708984
"358",11,6,0.05,0.0105212777484544,0.00373419120088586,5.58573114257812e-06
"359",11,7,0.05,0.00241471948325183,0.000521751888345484,2.09989892578125e-07
"360",11,8,0.05,0.000129359972317062,4.3119990772354e-05,5.5260498046875e-09
"361",11,9,0.05,0,4.3119990772354e-06,9.69482421875004e-11
"362",11,10,0.05,0,0,1.0205078125e-12
"363",11,11,0.05,0,0,4.8828125e-15
"364",11,0,0.1,0.31381059609,0.31381059609,0.31381059609
"365",11,1,0.1,0.048239115094873,0.135762573563593,0.38354628411
"366",11,2,0.1,0.136688929258872,0.237929313911753,0.21308126895
"367",11,3,0.1,0.196867739981779,0.188654052816976,0.07102708965
"368",11,4,0.1,0.17086116157359,0.0892457938725346,0.0157837977
"369",11,5,0.1,0.092361093766286,0.0277494994941204,0.00245525742
"370",11,6,0.1,0.031839188341424,0.0059424002378606,0.00027280638
"371",11,7,0.1,0.007822559204574,0.0008302891787311,2.16513e-05
"372",11,8,0.1,0.00137237880782,6.8618940391e-05,1.20285e-06
"373",11,9,0.1,0.000137237880782,6.8618940391e-06,4.455e-08
"374",11,10,0.1,0,0,9.89999999999999e-10
"375",11,11,0.1,0,0,1e-11
"376",12,0,0.001,0.988065780494209,0.988065780494209,0.988065780494209
"377",12,1,0.001,0.00198466070381306,0.00199575952795345,0.0118686580239545
"378",12,2,0.001,0.00383446472721068,0.00388434976474489,6.53429620938433e-05
"379",12,3,0.001,0.00347166445423463,0.00344290298522567,2.18027901547692e-07
"380",12,4,0.001,0.00179848687952272,0.00178404647392071,4.9105383231462e-10
"381",12,5,0.001,0.000644447853312719,0.000640151534290635,7.86472604307701e-13
"382",12,6,0.001,0.000167079073081075,0.000155622222355516,9.18469841533856e-16
"383",12,7,0.001,2.86421268138986e-05,2.70906782781458e-05,7.88047912083957e-19
"384",12,8,0.001,3.58026585173733e-06,4.17697682702688e-06,4.93022968020495e-22
"385",12,9,0.001,1.19342195057911e-06,1.19342195057911e-07,2.19340659780002e-25
"386",12,10,0.001,0,0,6.5868066e-29
"387",12,11,0.001,0,0,1.19879999999998e-32
"388",12,12,0.001,0,0,1e-36
"389",12,0,0.01,0.886384871716129,0.886384871716129,0.886384871716129
"390",12,1,0.01,0.0158947564469135,0.0189998579029117,0.107440590511046
"391",12,2,0.01,0.0354933660758812,0.0369794519538343,0.00596892169505811
"392",12,3,0.01,0.033198340484547,0.0327768283586139,0.000200973794446401
"393",12,4,0.01,0.0195872481161393,0.0169843255271558,4.56758623741821e-06
"394",12,5,0.01,0.00728272972299612,0.00609431548114683,7.38195755542336e-08
"395",12,6,0.01,0.00181784205254193,0.00148154127282167,8.69927658046525e-10
"396",12,7,0.01,0.000306760846366451,0.000257906341204387,7.53184119520798e-12
