"","pool","prevalence","above.llod","limit","pos_real","pos_null","total.tests","total.tests_null","tests.per.sample","tests.per.sample_null","tn_real","tp_real","fn_real","fp_real","ppa","ppa_null","tn_null","tp_null","fn_null","fp_null","est","lwr.ci","upr.ci"
"211",15,0.001,0.05,35,1.37737950045128,0.015,15.194978700398,1.20924759605178,1.01299858002654,0.0806165064034517,0.00564287526252905,0.94633191335987,0.0480252113776013,0,0.951702250446206,0.936516609416933,0.985104546362002,0.013949839736785,0.000945613901212996,0,0.951702250446206,0.947316737010504,0.955822227906369
"212",15,0.001,0.1,35,1.27424420947632,0.015,14.4609944664016,1.19731868826034,0.964066297760106,0.0798212458840229,0.00623375643474072,0.897399631093439,0.0963666124718202,0,0.903028893267603,0.883127129730322,0.985104546362002,0.0131545792173563,0.00174087442064174,0,0.903028893267603,0.897061057029136,0.908760809168357
"213",15,0.001,0.15,35,1.46869720517817,0.015,14.1843213948749,1.18770928943552,0.945621426324992,0.079180619295701,0.00620117920462885,0.878954759658325,0.114844061137046,0,0.884439326417059,0.840118933814241,0.985104546362002,0.0125139526290343,0.00238150100896367,0,0.884439326417059,0.878011132629065,0.890642669155551
"214",15,0.01,0.05,35,1.53781416234868,0.15,15.3861536965265,2.97920959716226,1.02574357976843,0.198613973144151,0.000562363760722208,0.959076913101767,0.0403607231375106,0,0.959616566683059,0.942873768128595,0.860058354641288,0.131947306477484,0.00799433888122762,0,0.959616566683059,0.955572082163065,0.963390493984788
"215",15,0.01,0.1,35,1.49487233588096,0.15,14.7976589867719,2.87597000162913,0.986510599118126,0.191731333441942,0.000707722955616826,0.91984393245146,0.0794483445929236,0,0.920495388168206,0.893691555896015,0.860058354641288,0.125064666775275,0.0148769785834362,0,0.920495388168206,0.915019824299112,0.925724548714583
"216",15,0.01,0.15,35,1.53266502217001,0.15,14.335557688162,2.77992199201953,0.955703845877465,0.185328132801302,0.00069713488015941,0.889037179210798,0.110265685909043,0,0.889657390409044,0.847935336407338,0.860058354641288,0.118661466134635,0.021280179224076,0,0.889657390409044,0.883352669155122,0.895734160477695
"217",15,0.05,0.05,35,1.86379686823809,0.749999999999999,15.5168110571445,8.68706982911796,1.0344540704763,0.579137988607864,8.41243900963367e-05,0.967787403809633,0.0321284718002709,0,0.967868825184245,0.954840596500289,0.463291230159753,0.512471321941197,0.0242374478990493,0,0.967868825184245,0.96422334063947,0.971238361969219
"218",15,0.05,0.1,35,1.90545563131632,0.749999999999999,15.1477193806877,8.40637795750854,1.00984795871251,0.560425197167236,7.66198329394283e-05,0.943181292045846,0.0567420881212143,0,0.943253563976338,0.919974776353176,0.463291230159753,0.493758530500569,0.0429502393396772,0,0.943253563976338,0.938538386213144,0.947708465419456
"219",15,0.05,0.15,35,1.87015812737737,0.749999999999999,14.6977304587436,8.10130521007698,0.979848697249572,0.540087014005132,7.30089583801924e-05,0.913182030582905,0.0867449604587149,0,0.913248705919666,0.88208051357048,0.463291230159753,0.473420347338465,0.0632884225017812,0,0.913248705919666,0.907560879942331,0.918694490169111
"220",15,0.1,0.05,35,2.18869087676473,1.5,15.640824596611,12.5567680857106,1.04272163977406,0.837117872380704,3.16834651383157e-05,0.976054973107397,0.0239133434274647,0,0.976085898890947,0.970208540481714,0.205891132094649,0.770451205714037,0.0236576621913138,0,0.976085898890947,0.97289912823738,0.97899107466411
